batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_acc
64,0.05,0.995,5,50,0.004309583878765504,96.42578125
64,0.05,0.99,5,50,0.00492100658454001,96.23046875
64,0.05,0.985,5,50,0.004500281006097793,96.62109375
64,0.05,0.98,5,50,0.0046859476243456205,96.5234375
64,0.05,0.995,10,50,0.0024472312834113836,96.23046875
64,0.05,0.99,10,50,0.0023490190248315534,97.40234375
64,0.05,0.985,10,50,0.002681720650754869,96.71875
64,0.05,0.98,10,50,0.002322619544963042,96.71875
64,0.05,0.995,25,50,0.0012587843583896756,97.01171875
64,0.05,0.99,25,50,0.0011550485227877895,97.109375
64,0.05,0.985,25,50,0.001180130914474527,96.71875
64,0.05,0.98,25,50,0.0014418716263026,97.01171875
64,0.05,0.995,50,50,0.0011506023799690108,97.20703125
64,0.05,0.99,50,50,0.0011091912096987168,97.01171875
64,0.05,0.985,50,50,0.0010064750881865622,97.20703125
64,0.05,0.98,50,50,0.0011792486216872932,97.3046875
